label,benchmark,group,n_steps,n_qubits,two_qubit_gates,depth,shots,ancilla_retention,tvd_hardware_vs_ideal_circuit,tvd_hardware_vs_exact,tvd_ideal_circuit_vs_exact,gate_sx,gate_rz,gate_cz,gate_x,gate_measure
harmonic_propagate_r1,harmonic,propagate,1,3,33,123,8192,1.0,0.05605043700228965,0.42547433080887415,0.4005216246537122,75,52,33,3.0,3
harmonic_propagate_r2,harmonic,propagate,2,3,49,177,8192,1.0,0.12166362768848221,0.7943023154236218,0.8942149908387255,112,83,49,8.0,3
harmonic_propagate_r4,harmonic,propagate,4,3,69,243,8192,1.0,0.0874064322182941,0.32750544042362184,0.28612613114956365,158,111,69,9.0,3
harmonic_propagate_r8,harmonic,propagate,8,3,109,368,8192,1.0,0.07931520232986196,0.385748825304616,0.35645201822328115,241,170,109,13.0,3
harmonic_echo_r1,harmonic,echo,1,3,37,135,4096,1.0,0.10029687778801209,,,84,61,37,3.0,3
harmonic_echo_r2,harmonic,echo,2,3,37,133,4096,1.0,0.10225000278801141,,,84,59,37,3.0,3
harmonic_echo_r4,harmonic,echo,4,3,37,137,4096,1.0,0.1029824246630098,,,85,60,37,4.0,3
harmonic_echo_r8,harmonic,echo,8,3,69,243,4096,1.0,0.155467200839641,,,151,104,69,8.0,3
harmonic_baseline_r1,harmonic,baseline,0,3,5,26,4096,1.0,0.04389493521464469,,,17,16,5,,3
infinite_well_propagate_r1,infinite_well,propagate,1,5,111,314,8192,0.645263671875,0.09151915539137231,0.09151915539137385,2.1723074727919567e-15,229,135,111,4.0,5
infinite_well_propagate_r2,infinite_well,propagate,2,5,203,530,8192,0.5419921875,0.13198121222686798,0.13198121222686998,2.9483793878570808e-15,406,230,203,5.0,5
infinite_well_propagate_r4,infinite_well,propagate,4,5,373,970,8192,0.413818359375,0.16470663676645095,0.1647066367664538,4.895823330075544e-15,738,393,373,6.0,5
infinite_well_echo_r1,infinite_well,echo,1,5,204,532,4096,0.541748046875,0.41547927701612153,,,415,227,204,7.0,5
infinite_well_echo_r2,infinite_well,echo,2,5,360,974,4096,0.43017578125,0.5249366565046869,,,722,389,360,3.0,5
infinite_well_echo_r4,infinite_well,echo,4,5,700,1883,4096,0.320556640625,0.6385801914685001,,,1394,773,700,12.0,5
infinite_well_baseline_r1,infinite_well,baseline,0,5,5,24,4096,0.994384765625,0.03988546392477904,,,14,16,5,1.0,5
tilted_well_propagate_r1,tilted_well,propagate,1,5,111,323,8192,0.6435546875,0.15516477921500993,0.8330229345085284,0.9277945135498634,230,140,111,7.0,5
tilted_well_propagate_r2,tilted_well,propagate,2,5,229,655,8192,0.478515625,0.22210227643324276,0.5614971997836825,0.42858149253595357,463,250,229,3.0,5
tilted_well_propagate_r4,tilted_well,propagate,4,5,455,1332,8192,0.3702392578125,0.34615783091130514,0.5827413205774006,0.27164710656851254,930,466,455,9.0,5
tilted_well_echo_r1,tilted_well,echo,1,5,203,557,4096,0.524169921875,0.3475550766321318,,,424,248,203,3.0,5
tilted_well_echo_r2,tilted_well,echo,2,5,416,1143,4096,0.368896484375,0.5028207467667161,,,848,464,416,5.0,5
tilted_well_echo_r4,tilted_well,echo,4,5,849,2369,4096,0.31201171875,0.6631634190220247,,,1720,909,849,9.0,5
tilted_well_baseline_r1,tilted_well,baseline,0,5,5,24,4096,0.994140625,0.051697581868572026,,,14,16,5,1.0,5
