label,group,benchmark,n_steps,two_qubit_gates,tvd_raw,tvd_readout_corrected,retention_raw,retention_corrected,improvement
harmonic_propagate_r1,propagate,harmonic,1,33,0.05605043700228965,0.05571939909867924,1.0,1.0,0.000331037903610408
harmonic_propagate_r2,propagate,harmonic,2,49,0.12166362768848221,0.1209232689955619,1.0,1.0,0.0007403586929203149
harmonic_propagate_r4,propagate,harmonic,4,69,0.0874064322182941,0.07291698480232697,1.0,1.0,0.014489447415967124
harmonic_propagate_r8,propagate,harmonic,8,109,0.07931520232986196,0.07080308945823459,1.0,1.0,0.00851211287162737
harmonic_echo_r1,echo,harmonic,1,37,0.10029687778801209,0.09336011462071687,1.0,1.0,0.006936763167295218
harmonic_echo_r2,echo,harmonic,2,37,0.10225000278801141,0.10167949899617337,1.0,1.0,0.0005705037918380396
harmonic_echo_r4,echo,harmonic,4,37,0.1029824246630098,0.09610069145494926,1.0,1.0,0.006881733208060542
harmonic_echo_r8,echo,harmonic,8,69,0.155467200839641,0.13792005532712304,1.0,1.0000000000000002,0.01754714551251796
harmonic_baseline_r1,baseline,harmonic,0,5,0.04389493521464469,0.03847292237872059,1.0,1.0000000000000002,0.005422012835924098
infinite_well_propagate_r1,propagate,infinite_well,1,111,0.09151915539137231,0.08730233801424403,0.645263671875,0.6423314258557928,0.004216817377128285
infinite_well_propagate_r2,propagate,infinite_well,2,203,0.13198121222686798,0.12887903076868024,0.5419921875,0.5385780159521435,0.003102181458187747
infinite_well_propagate_r4,propagate,infinite_well,4,373,0.16470663676645095,0.16262607264484327,0.413818359375,0.4094794049224874,0.0020805641216076753
infinite_well_echo_r1,echo,infinite_well,1,204,0.41547927701612153,0.4019839371531335,0.541748046875,0.5370488317516622,0.01349533986298801
infinite_well_echo_r2,echo,infinite_well,2,360,0.5249366565046869,0.5166112172685986,0.43017578125,0.4246770108128499,0.008325439236088306
infinite_well_echo_r4,echo,infinite_well,4,700,0.6385801914685001,0.6361451388486632,0.320556640625,0.3152019264216669,0.002435052619836897
infinite_well_baseline_r1,baseline,infinite_well,0,5,0.03988546392477904,0.032633287489328984,0.994384765625,0.9960215212154809,0.007252176435450057
tilted_well_propagate_r1,propagate,tilted_well,1,111,0.15516477921500993,0.14525804120495756,0.6435546875,0.6406148185528321,0.009906738010052374
tilted_well_propagate_r2,propagate,tilted_well,2,229,0.22210227643324276,0.21473906370179066,0.478515625,0.4748982220006648,0.007363212731452101
tilted_well_propagate_r4,propagate,tilted_well,4,455,0.34615783091130514,0.3421535096049833,0.3702392578125,0.3602837373167281,0.004004321306321834
tilted_well_echo_r1,echo,tilted_well,1,203,0.3475550766321318,0.33134404553009966,0.524169921875,0.5200424773037936,0.016211031102032147
tilted_well_echo_r2,echo,tilted_well,2,416,0.5028207467667161,0.4921863960418743,0.368896484375,0.3630579739256966,0.010634350724841757
tilted_well_echo_r4,echo,tilted_well,4,849,0.6631634190220247,0.6619171712042007,0.31201171875,0.3019848186114973,0.0012462478178240088
tilted_well_baseline_r1,baseline,tilted_well,0,5,0.051697581868572026,0.044564719303707825,0.994140625,0.9957270973930327,0.007132862564864201
